1,Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked,Location 1
765,2007,Mississippi,0.19,0.05,0.21,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
766,1999,Delaware,0.21,0.05,0.24,0.51,"Delaware
(39.00883000020451, -75.57774000040052)"
767,2004,Louisiana,0.17,0.07,0.2,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
768,2003,New York,0.17,0.05,0.25,0.53,"New York
(42.82699999955048, -75.54396999981549)"
769,1995,California,0.13,0.03,0.28,0.57,"California
(37.638300000444815, -120.99958999997835)"
770,2005,Idaho,0.13,0.05,0.23,0.59,"Idaho
(43.682590000228515, -114.36368000023168)"
771,2002,Kentucky,0.29,0.04,0.22,0.46,"Kentucky
(37.645969999815804, -84.77496999996538)"
772,2010,Nebraska,0.13,0.05,0.25,0.58,"Nebraska
(41.6410400000961, -99.36572999973953)"
773,2009,Montana,0.12,0.05,0.26,0.57,"Montana
(47.06653000015956, -109.42441999998289)"
774,2009,Oregon,0.13,0.05,0.28,0.55,"Oregon
(44.567449999917756, -120.15502999983448)"
775,2002,Louisiana,0.19,0.05,0.19,0.57,"Louisiana
(31.31265999975932, -92.44567999993188)"
776,2008,New Jersey,0.11,0.04,0.24,0.61,"New Jersey
(40.13056999960594, -74.2736899996936)"
777,1997,West Virginia,0.25,0.03,0.24,0.48,"West Virginia
(38.66550999958696, -80.71263999973604)"
778,2001,Texas,0.16,0.07,0.21,0.57,"Texas
(31.82724000022597, -99.42676999973554)"
779,2007,Vermont,0.14,0.04,0.31,0.52,"Vermont
(43.625379999687425, -72.51764000028561)"
780,1999,New Hampshire,0.18,0.04,0.29,0.49,"New Hampshire
(43.65595000019255, -71.50036000041354)"
781,1998,Kentucky,0.28,0.03,0.23,0.46,"Kentucky
(37.645969999815804, -84.77496999996538)"
782,2006,Florida,0.16,0.05,0.26,0.53,"Florida
(28.932039999846268, -81.9289599999039)"
783,2000,Colorado,0.15,0.05,0.26,0.54,"Colorado
(38.842890000173554, -106.13314000041055)"
784,2007,Wisconsin,0.15,0.05,0.26,0.55,"Wisconsin
(44.39319000021851, -89.81636999977553)"
785,2008,New Mexico,0.13,0.07,0.25,0.56,"New Mexico
(34.52088000011207, -106.24057999976702)"
786,1998,Louisiana,0.21,0.05,0.2,0.55,"Louisiana
(31.31265999975932, -92.44567999993188)"
787,2002,Texas,0.17,0.06,0.21,0.56,"Texas
(31.82724000022597, -99.42676999973554)"
788,2004,South Dakota,0.14,0.06,0.24,0.56,"South Dakota
(44.353130000049646, -100.37353000040906)"
789,1998,Iowa,0.18,0.05,0.24,0.53,"Iowa
(42.469390000048634, -93.81649000001335)"
790,2003,Alaska,0.19,0.07,0.26,0.48,"Alaska
(64.84507999974238, -147.72205999986895)"
791,2002,New Hampshire,0.19,0.05,0.3,0.47,"New Hampshire
(43.65595000019255, -71.50036000041354)"
792,2002,District of Columbia,0.13,0.07,0.2,0.59,"District of Columbia
(38.89036999987576, -77.03195999965413)"
793,2010,North Dakota,0.12,0.05,0.24,0.59,"North Dakota
(47.475320000018144, -100.11841999998285)"
794,2005,Maryland,0.13,0.06,0.23,0.58,"Maryland
(39.29057999976732, -76.6092600004485)"
795,2000,Vermont,0.17,0.05,0.3,0.49,"Vermont
(43.625379999687425, -72.51764000028561)"
796,2005,Florida,0.15,0.07,0.27,0.52,"Florida
(28.932039999846268, -81.9289599999039)"
797,2002,Wisconsin,0.19,0.05,0.27,0.49,"Wisconsin
(44.39319000021851, -89.81636999977553)"
798,2001,New Hampshire,0.19,0.05,0.29,0.47,"New Hampshire
(43.65595000019255, -71.50036000041354)"
799,2001,Pennsylvania,0.19,0.06,0.24,0.51,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
800,2010,District of Columbia,0.1,0.06,0.23,0.61,"District of Columbia
(38.89036999987576, -77.03195999965413)"
801,2000,Maryland,0.15,0.05,0.24,0.56,"Maryland
(39.29057999976732, -76.6092600004485)"
802,2007,Wyoming,0.18,0.05,0.25,0.53,"Wyoming
(43.23553999957147, -108.10982999975454)"
803,1996,Kansas,0.19,0.04,0.2,0.58,"Kansas
(38.34774000000118, -98.20077999969709)"
804,1999,Maine,0.2,0.04,0.3,0.47,"Maine
(45.25423000041434, -68.9850299999344)"
805,1997,Kansas,0.18,0.04,0.19,0.58,"Kansas
(38.34774000000118, -98.20077999969709)"
806,2010,South Dakota,0.11,0.04,0.27,0.58,"South Dakota
(44.353130000049646, -100.37353000040906)"
807,1996,New Hampshire,0.21,0.04,0.29,0.46,"New Hampshire
(43.65595000019255, -71.50036000041354)"
808,2000,Montana,0.16,0.03,0.3,0.51,"Montana
(47.06653000015956, -109.42441999998289)"
809,2004,Idaho,0.13,0.04,0.23,0.59,"Idaho
(43.682590000228515, -114.36368000023168)"
810,1996,Indiana,0.25,0.04,0.24,0.48,"Indiana
(39.76690999989677, -86.14996000035359)"
811,2006,Alabama,0.18,0.06,0.23,0.54,"Alabama
(32.840569999605975, -86.63186000013877)"
812,2006,Idaho,0.13,0.04,0.23,0.6,"Idaho
(43.682590000228515, -114.36368000023168)"
813,1999,New Jersey,0.15,0.06,0.21,0.58,"New Jersey
(40.13056999960594, -74.2736899996936)"
814,2010,Mississippi,0.17,0.06,0.22,0.55,"Mississippi
(32.7455100000866, -89.53803000008429)"
815,2001,Ohio,0.22,0.06,0.23,0.49,"Ohio
(40.06020999969189, -82.40426000019869)"
816,2007,Connecticut,0.11,0.04,0.31,0.54,"Connecticut
(41.56265999995918, -72.6498400002157)"
817,2001,Nevada,0.21,0.06,0.26,0.47,"Nevada
(39.49323999972637, -117.07183999971608)"
818,2000,New Mexico,0.17,0.07,0.26,0.51,"New Mexico
(34.52088000011207, -106.24057999976702)"
819,2010,Montana,0.14,0.05,0.27,0.54,"Montana
(47.06653000015956, -109.42441999998289)"
820,1999,Mississippi,0.19,0.04,0.2,0.57,"Mississippi
(32.7455100000866, -89.53803000008429)"
821,2006,Maine,0.16,0.05,0.3,0.49,"Maine
(45.25423000041434, -68.9850299999344)"
822,2005,Utah,0.09,0.03,0.16,0.73,"Utah
(39.36070000030492, -111.58712999994941)"
823,2006,Georgia,0.14,0.06,0.21,0.59,"Georgia
(32.83967999993223, -83.62758000031658)"
824,2010,Kentucky,0.19,0.06,0.26,0.49,"Kentucky
(37.645969999815804, -84.77496999996538)"
825,1997,Minnesota,0.17,0.05,0.22,0.56,"Minnesota
(46.3556499998478, -94.79419999982997)"
826,1999,Alaska,0.19,0.08,0.26,0.47,"Alaska
(64.84507999974238, -147.72205999986895)"
827,2010,Maryland,0.11,0.05,0.24,0.61,"Maryland
(39.29057999976732, -76.6092600004485)"
828,2007,Minnesota,0.12,0.04,0.28,0.56,"Minnesota
(46.3556499998478, -94.79419999982997)"
829,1998,Alaska,0.2,0.06,0.25,0.48,"Alaska
(64.84507999974238, -147.72205999986895)"
830,1996,Hawaii,0.18,0.04,0.24,0.54,"Hawaii
(21.304850000427336, -157.85774999956269)"
831,2002,Oklahoma,0.22,0.05,0.22,0.52,"Oklahoma
(35.4720099999617, -97.52034999975251)"
832,2005,Wyoming,0.16,0.05,0.27,0.52,"Wyoming
(43.23553999957147, -108.10982999975454)"
833,2002,Pennsylvania,0.2,0.05,0.26,0.5,"Pennsylvania
(40.79372999993973, -77.86069999960512)"
834,1997,Arizona,0.18,0.03,0.14,0.65,"Arizona
(34.86596999961597, -111.76380999973156)"
835,2009,West Virginia,0.21,0.05,0.25,0.5,"West Virginia
(38.66550999958696, -80.71263999973604)"
836,2008,West Virginia,0.22,0.05,0.25,0.48,"West Virginia
(38.66550999958696, -80.71263999973604)"
837,2003,Michigan,0.21,0.05,0.26,0.48,"Michigan
(44.661320000317914, -84.71438999959867)"
838,2009,Connecticut,0.11,0.05,0.28,0.56,"Connecticut
(41.56265999995918, -72.6498400002157)"
839,1998,District of Columbia,0.15,0.07,0.17,0.61,"District of Columbia
(38.89036999987576, -77.03195999965413)"
840,2007,California,0.09,0.06,0.23,0.63,"California
(37.638300000444815, -120.99958999997835)"
841,2006,Vermont,0.14,0.04,0.31,0.51,"Vermont
(43.625379999687425, -72.51764000028561)"
